栄養素id,栄養素,食材,100gあたり含有量,単位,一食の目安量g,一食あたり,一日の目安量,割合%,レベル,タグ,食品番号,含有量の出典,基準値の出典,確認メモ
protein,たんぱく質,アーモンド,20.3,g,25,5.08,50,10.2,3,,05040,確認済,2025年版・女性30-49・推奨量,05040 アーモンド いり 無塩
protein,たんぱく質,ソーセージ,12.1,g,40,4.84,50.0,9.7,3,,11306,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜畜肉類＞ ぶた ［ソーセージ類］ ウインナーソーセージ ゆで／目安量は暫定
protein,たんぱく質,ひよこ豆,9.5,g,50,4.75,50.0,9.5,3,,04066,確認済,2025年版・女性30-49・推奨量,成分表八訂 ひよこまめ 全粒 ゆで／目安量は暫定
protein,たんぱく質,きなこ,36.7,g,10,3.67,50.0,7.3,3,,04029,確認済,2025年版・女性30-49・推奨量,成分表八訂 だいず ［全粒・全粒製品］ きな粉 黄大豆 全粒大豆／目安量は暫定
protein,たんぱく質,ヨーグルト,3.6,g,100,3.6,50.0,7.2,3,,13025,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜牛乳及び乳製品＞ （発酵乳・乳酸菌飲料） ヨーグルト 全脂無糖／目安量は暫定
se,セレン,まぐろ,74.0,µg,80,59.2,25,236.8,1,,10252,確認済,2025年版・女性30-49・推奨量,10252 ＜魚類＞ （まぐろ類） きはだ 生
se,セレン,さば,70.0,µg,80,56.0,25,224.0,1,,10154,確認済,2025年版・女性30-49・推奨量,10154 ＜魚類＞ （さば類） まさば 生
se,セレン,うなぎ,50.0,µg,80,40.0,25,160.0,1,,10067,確認済,2025年版・女性30-49・推奨量,10067 ＜魚類＞ うなぎ 養殖 生
se,セレン,いわし,48.0,µg,80,38.4,25.0,153.6,1,,10047,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜魚類＞ （いわし類） まいわし 生／目安量は暫定
se,セレン,かつお,43.0,µg,80,34.4,25,137.6,1,,10086,確認済,2025年版・女性30-49・推奨量,10086 ＜魚類＞ （かつお類） かつお 春獲り 生
se,セレン,いか,41.0,µg,80,32.8,25.0,131.2,1,,10345,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜いか・たこ類＞ （いか類） するめいか 生／目安量は暫定
se,セレン,牡蠣,46.0,µg,60,27.6,25,110.4,1,,10292,確認済,2025年版・女性30-49・推奨量,10292 ＜貝類＞ かき 養殖 生
se,セレン,さんま,32.0,µg,80,25.6,25,102.4,1,,10173,確認済,2025年版・女性30-49・推奨量,10173 ＜魚類＞ さんま 皮つき 生
se,セレン,鮭,31.0,µg,80,24.8,25,99.2,1,,10134,確認済,2025年版・女性30-49・推奨量,10134 ＜魚類＞ （さけ・ます類） しろさけ 生
se,セレン,豚ロース,21.0,µg,80,16.8,25,67.2,1,,11123,確認済,2025年版・女性30-49・推奨量,11123 ＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき 生
se,セレン,豚ひき肉,19.0,µg,80,15.2,25,60.8,1,,11163,確認済,2025年版・女性30-49・推奨量,11163 ＜畜肉類＞ ぶた ［ひき肉］ 生
se,セレン,あさり,38.0,µg,40,15.2,25,60.8,1,,10281,確認済,2025年版・女性30-49・推奨量,10281 ＜貝類＞ あさり 生
se,セレン,鶏むね,17.0,µg,80,13.6,25,54.4,1,,11219,確認済,2025年版・女性30-49・推奨量,11219 ＜鳥肉類＞ にわとり ［若どり・主品目］ むね 皮つき 生
se,セレン,鶏もも,17.0,µg,80,13.6,25,54.4,1,,11221,確認済,2025年版・女性30-49・推奨量,11221 ＜鳥肉類＞ にわとり ［若どり・主品目］ もも 皮つき 生
se,セレン,ささみ,22.0,µg,60,13.2,25,52.8,1,,11227,確認済,2025年版・女性30-49・推奨量,11227 ＜鳥肉類＞ にわとり ［若どり・副品目］ ささみ 生
se,セレン,卵,24.0,µg,50,12.0,25,48.0,1,,12004,確認済,2025年版・女性30-49・推奨量,12004 鶏卵 全卵 生
se,セレン,豚ばら,13.0,µg,80,10.4,25,41.6,1,,11129,確認済,2025年版・女性30-49・推奨量,11129 ＜畜肉類＞ ぶた ［大型種肉］ ばら 脂身つき 生
se,セレン,オートミール,18.0,µg,40,7.2,25,28.8,2,,01004,確認済,2025年版・女性30-49・推奨量,01004 えんばく オートミール
se,セレン,納豆,16.0,µg,45,7.2,25,28.8,2,,04046,確認済,2025年版・女性30-49・推奨量,04046 だいず ［納豆類］ 糸引き納豆
se,セレン,しらす干し,61.0,µg,10,6.1,25,24.4,2,,10055,確認済,2025年版・女性30-49・推奨量,10055 ＜魚類＞ （いわし類） しらす干し 微乾燥品
se,セレン,牛乳,3.0,µg,200,6.0,25,24.0,2,,13003,確認済,2025年版・女性30-49・推奨量,13003 ＜牛乳及び乳製品＞ （液状乳類） 普通牛乳
se,セレン,玄米,3.0,µg,150,4.5,25,18.0,2,,01080,確認済,2025年版・女性30-49・推奨量,01080 こめ ［水稲穀粒］ 玄米
se,セレン,白米,2.0,µg,150,3.0,25,12.0,2,,01083,確認済,2025年版・女性30-49・推奨量,01083 こめ ［水稲穀粒］ 精白米 うるち米
